,Team,GoalsScored,GoalsConceded
0,albania,0.0,1.0
1,austria,0.8,1.2
2,belgium,1.5454545454545454,1.0
3,bulgaria,0.5,1.0
4,cis,1.0,1.0
5,croatia,1.5833333333333333,1.75
6,czech republic,1.1538461538461537,1.3076923076923077
7,czechoslovakia,1.3333333333333333,1.3333333333333333
8,denmark,1.25,1.5625
9,england,1.1176470588235294,1.0
10,fr yugoslavia,3.0,3.5
11,finland,0.0,1.5
12,france,1.9230769230769231,1.1538461538461537
13,germany,1.5,1.0
14,greece,0.6666666666666666,1.2222222222222223
15,hungary,1.1428571428571428,2.142857142857143
16,iceland,1.5,1.0
17,italy,1.3181818181818181,0.45454545454545453
18,latvia,0.0,0.0
19,netherlands,1.7391304347826086,1.1304347826086956
20,north macedonia,0.0,3.0
21,northern ireland,0.0,1.0
22,norway,0.0,1.0
23,poland,0.8333333333333334,1.0
24,portugal,1.5,1.0
25,republic of ireland,0.75,1.5
26,romania,0.42857142857142855,1.0
27,russia,1.3,2.2
28,scotland,0.8,1.2
29,slovakia,0.0,2.5
30,slovenia,0.5,1.0
31,soviet union,1.3333333333333333,1.0
32,spain,1.4,0.6
33,sweden,1.5,1.0714285714285714
34,switzerland,0.9,1.1
35,turkey,0.75,1.75
36,ukraine,0.5714285714285714,1.7142857142857142
37,wales,1.4,1.4
38,west germany,1.5555555555555556,0.7777777777777778
39,yugoslavia,2.0,4.0
40,albania,0.5,1.0
41,austria,0.6,1.2
42,belgium,1.2727272727272727,1.5454545454545454
43,bulgaria,0.75,2.75
44,cis,0.0,1.5
45,croatia,1.1,0.7
46,czech republic,1.3125,1.25
47,czechoslovakia,2.0,1.0
48,denmark,1.2941176470588236,1.4705882352941178
49,england,1.5789473684210527,1.0
50,fr yugoslavia,1.0,3.0
51,finland,1.0,0.0
52,france,1.1176470588235294,1.1764705882352942
53,germany,1.3,1.2
54,greece,1.1428571428571428,1.2857142857142858
55,hungary,1.5,1.25
56,iceland,1.6666666666666667,2.3333333333333335
57,italy,1.0,1.0
58,latvia,0.5,2.5
59,netherlands,1.5625,0.9375
60,north macedonia,1.0,2.5
61,northern ireland,0.6666666666666666,0.6666666666666666
62,norway,0.5,0.0
63,poland,0.75,1.125
64,portugal,1.368421052631579,0.9473684210526315
65,republic of ireland,0.5,1.8333333333333333
66,romania,0.7777777777777778,1.5555555555555556
67,russia,0.9,1.4
68,scotland,0.25,1.0
69,slovakia,1.0,1.6
70,slovenia,3.0,3.0
71,soviet union,1.625,0.875
72,spain,1.5384615384615385,1.1538461538461537
73,sweden,0.9,1.3
74,turkey,0.8,1.6
75,ukraine,1.0,1.75
76,wales,1.2,1.0
77,west germany,1.8333333333333333,1.0
78,yugoslavia,1.6666666666666667,3.1666666666666665
79,switzerland,0.875,1.625
